,Filename,Size in,Depth in
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565
aj-e11_165.qasm,benchmarking/ibmq/aj-e11_165.qasm,183,88
misex1_241.qasm,benchmarking/ibmq/misex1_241.qasm,4845,2678
alu-v0_26.qasm,benchmarking/ibmq/alu-v0_26.qasm,116,51
sym6_316.qasm,benchmarking/ibmq/sym6_316.qasm,302,137
decod24-bdd_294.qasm,benchmarking/ibmq/decod24-bdd_294.qasm,105,42
miller_11.qasm,benchmarking/ibmq/miller_11.qasm,82,31
sqn_258.qasm,benchmarking/ibmq/sqn_258.qasm,10255,5460
rd32-v1_68.qasm,benchmarking/ibmq/rd32-v1_68.qasm,68,23
dc1_220.qasm,benchmarking/ibmq/dc1_220.qasm,1946,1040
hwb6_56.qasm,benchmarking/ibmq/hwb6_56.qasm,6755,3738
decod24-enable_126.qasm,benchmarking/ibmq/decod24-enable_126.qasm,370,192
one-two-three-v2_100.qasm,benchmarking/ibmq/one-two-three-v2_100.qasm,101,42
mod5adder_127.qasm,benchmarking/ibmq/mod5adder_127.qasm,587,304
